,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
0,828.8287124325508,235.85686,0.9999973051963772,1.003276698173455,233.516998,,2015-01-23
1,769.8908900074406,235.531,1890.2896962618247,234.0340784807377,232.699997,,2015-01-24
2,716.8450584005087,246.29327,231.8852324078979,233.21539815002345,247.352005,,2015-01-25
3,634.0354568171388,251.50836,254.2586959400014,247.89746023874235,254.078995,,2015-01-26
4,575.0405813378113,273.35355,261.5295142176232,254.6382053326126,273.166992,,2015-01-27
5,488.5963578499829,261.7535,283.93381127338006,273.76509279873585,263.351013,,2015-01-28
6,409.9047991387012,235.40459,270.0661658094148,263.92913970619,233.348007,,2015-01-29
7,331.06243851534515,230.86824,233.9434084755582,233.86474015747936,232.772003,,2015-01-30
8,279.7588941647161,224.3847,232.0352470267113,233.28755217404887,226.440994,,2015-01-31
9,239.8066479799046,217.51341,225.9270762338136,226.94351570952225,216.867004,,2015-02-01
10,175.73170607350647,227.28363,215.46907445700663,217.3497750647329,226.490997,,2015-02-02
11,141.1475258857621,235.04066,224.91939558838988,226.9936217034616,237.453995,,2015-02-03
12,84.6749674189872,228.21074,238.207404636851,237.97916201740503,227.511002,,2015-02-04
13,41.25174084260317,229.76009,227.51410867909027,228.01572730807607,227.664993,,2015-02-05
14,2.565619716295828,214.15105,226.44769430499355,228.170035379242,216.923004,,2015-02-06
15,-4.2383557399128335,227.2852,216.4663214526749,217.40589076941205,222.632996,,2015-02-07
16,3.98416607634897,226.9821,221.7659837175579,223.12766933679887,227.692993,,2015-02-08
17,-9.016926738402104,222.50223,226.77625075520007,228.1980930302584,223.389008,,2015-02-09
18,9.506165982924244,219.11714,223.6224356054632,223.8852402573447,220.281998,,2015-02-10
19,7.239950167737845,218.75513,219.2489662059601,220.7718210681097,219.731995,,2015-02-11
20,18.14177015362634,218.43584,218.72767105243577,220.22068283910764,219.207993,,2015-02-12
21,32.89695171848035,224.68542,219.16738993161104,219.69559908734377,221.968994,,2015-02-13
22,77.65055190959964,235.0004,220.89442179661748,222.4622978300769,235.528,,2015-02-14
23,134.57392583018418,257.2884,235.3733522204685,236.0492122641236,257.506989,,2015-02-15
24,166.49481203486272,233.61201,258.8908270071316,258.0731986634352,234.824997,,2015-02-16
25,225.31229024481925,237.86038,235.111235956317,235.3447651708501,233.421997,,2015-02-17
26,257.958299879093,243.5253,233.1256591837873,233.9388822296225,243.779999,,2015-02-18
27,297.74811346089064,239.45306,244.1674457059676,244.31813945062163,236.410004,,2015-02-19
28,334.85297554865605,240.73206,236.8581352287423,236.9330276195017,240.251007,,2015-02-20
29,395.0441205948981,243.48921,240.1217250819078,240.78191318171105,243.751999,,2015-02-21
30,460.26808422942656,243.68182,244.14266467742843,244.2900820816777,244.544006,,2015-02-22
31,493.281808425433,238.81021,245.1953578295271,245.08371163507192,235.994995,,2015-02-23
32,546.0687921073422,237.36386,235.916216711768,236.51716638374467,238.998001,,2015-02-24
33,565.797974401892,240.91415,239.133303745538,239.52633674659936,238.889999,,2015-02-25
34,586.1678432900112,230.51904,239.22597318739005,239.4181131444412,237.337006,,2015-02-26
35,597.8691754125515,238.66331,237.32026991620592,237.86193286326795,236.436005,,2015-02-27
36,627.3159058356979,258.65863,236.55369081718217,236.95908200990127,253.520004,,2015-02-28
37,657.2044094608635,254.42238,253.82876875452604,254.078072335126,254.283005,,2015-03-01
38,651.1301329215194,260.12128,255.0088158017764,254.8426320723553,260.356995,,2015-03-02
39,661.983325674544,273.45352,261.0438422175187,260.92901875158697,275.04599,,2015-03-03
40,637.8860995509208,283.29608,275.810824975008,275.6479083525001,281.98999,,2015-03-04
41,613.5138815677819,270.77307,283.565613307481,282.60600030650005,272.739014,,2015-03-05
42,580.5352522269993,274.14252,273.9889777672778,273.33624501396395,275.600006,,2015-03-06
43,566.3202532293412,270.90805,276.23402667467553,276.203049586715,272.294006,,2015-03-07
44,554.4780145137756,274.7447,273.6567760324087,272.8903325149305,276.433014,,2015-03-08
45,509.45317588618576,272.758,277.368368879196,277.03774916191736,274.812012,,2015-03-09
46,484.9033426998294,289.69043,275.6259969970649,275.41345508258667,289.862,,2015-03-10
47,429.6202374863448,290.73718,291.2356932740458,290.4939554458198,291.524994,,2015-03-11
48,378.8379761313162,301.09534,292.9255633567424,292.16031391392704,296.127014,,2015-03-12
49,324.66274705257,289.9495,297.41308219965043,296.77163728019843,294.118011,,2015-03-13
50,294.7741794890592,288.6094,295.7118101804889,294.7585742005035,284.441986,,2015-03-14
51,272.9593648021968,274.91068,285.6590416506237,285.06296633193324,281.424988,,2015-03-15
52,223.7090301821185,285.64926,282.3192947853006,282.0398526475128,285.684998,,2015-03-16
53,200.5980392776205,288.11212,286.7775578033015,286.30849665376587,290.595001,,2015-03-17
54,152.21273082441115,280.50757,291.8066734253215,291.2284395792072,285.066986,,2015-03-18
55,113.4682926579091,259.55786,286.1638101489268,285.689232670244,255.880005,,2015-03-19
56,76.05014557563851,257.73267,256.8447551099289,256.44289350258697,260.955994,,2015-03-20
57,43.48811257550744,262.58936,260.8961906210077,261.5292391424508,261.644012,,2015-03-21
58,22.629634115693364,260.61383,262.30433274155405,262.21865979931164,259.916992,,2015-03-22
59,-22.67036339678953,263.65137,260.7292171597971,260.4881184334424,267.894989,,2015-03-23
60,-39.50982502180716,263.59625,267.8622047542248,268.4823685686708,266.576996,,2015-03-24
61,-79.99385518018681,246.2326,267.53952798111914,267.1616929192655,247.472,,2015-03-25
62,-109.89909388406797,247.36726,248.2178451646737,248.0177008333129,246.276001,,2015-03-26
63,-138.21469092557783,254.8482,245.7305112505201,246.8192535911156,248.565994,,2015-03-27
64,-138.41041593008697,239.68102,249.1973721341073,249.1139335241665,246.975006,,2015-03-28
65,-127.87177726686798,254.70226,247.39032085777004,247.5196895766529,252.740005,,2015-03-29
66,-143.27347721042088,242.98666,252.35740985069216,253.29647952421152,242.878998,,2015-03-30
67,-132.16982318253872,249.16393,243.72532672427863,243.41529216014607,247.453995,,2015-03-31
68,-147.04032487959557,247.05489,247.4065365706498,247.99965898290424,244.223007,,2015-04-01
69,-153.94794812377904,243.18863,244.06280332650783,244.76205506269253,247.089005,,2015-04-02
70,-162.0766297078377,252.95581,247.82246248226087,247.6339219249365,253.074005,,2015-04-03
71,-144.99860963711285,259.3236,252.86809575263,253.6311620462908,254.291,,2015-04-04
72,-120.11139717653155,251.50893,254.577630992844,254.85064340358656,253.761002,,2015-04-05
73,-124.01556957201753,256.30856,254.484572744871,254.3195627070919,260.721008,,2015-04-06
74,-104.11182793425075,257.51266,260.45233283985107,261.29377401751515,255.274002,,2015-04-07
75,-112.65528480500188,255.54155,255.97076240388245,255.83565308194693,253.063995,,2015-04-08
76,-115.42414748014768,243.32181,253.5002316424092,253.62113159200445,244.751007,,2015-04-09
77,-121.26905284078543,244.4543,244.54751265196447,245.291136647552,243.694,,2015-04-10
78,-103.3932305695132,236.29057,244.12805125848288,244.23196424655325,236.016006,,2015-04-11
79,-78.80291202127523,237.49113,236.15273165093845,236.53822053316745,236.535004,,2015-04-12
80,-83.69877662052204,234.53833,236.1920517702187,237.0582842903823,235.949997,,2015-04-13
81,-65.08645714663635,226.36308,236.30611368953143,236.47207597228285,224.759003,,2015-04-14
82,-74.84369058899415,216.35721,224.78431287827908,225.2580592654749,219.072998,,2015-04-15
83,-78.40091683170249,229.6556,218.6495994555277,219.5603253730624,223.917007,,2015-04-16
84,-84.30125493909622,229.31628,223.87642971756088,224.41432778305665,228.574997,,2015-04-17
85,-65.48975234741943,224.54721,228.4911351991389,229.0819127851496,222.852997,,2015-04-18
